rung,threads,rep,wall_s
R0,1,1,220.808
R0,1,2,217.719
R3,1,1,209.786
R3,1,2,209.906
R4,1,1,196.378
R4,1,2,197.654
R5b,1,1,165.327
R5b,1,2,165.966
R5c,1,1,166.869
R5c,1,2,169.783
R6,1,1,141.585
R6,1,2,141.484
R6,2,1,142.734
R6,2,2,143.962
R6,4,1,139.624
R6,4,2,141.346
R6,8,1,144.764
R6,8,2,142.926
R6,16,1,142.189
R6,16,2,142.784
IO_text,1,1,218.435
IO_text,1,2,219.03
IO_netcdf,1,1,197.812
IO_netcdf,1,2,202.247
R6FULL,1,1,170.602
R6FULL,1,2,170.249
R6FULL,2,1,105.945
R6FULL,2,2,106.026
R6FULL,4,1,75.3603
R6FULL,4,2,71.0909
R6FULL,8,1,62.6591
R6FULL,8,2,56.2183
R6FULL,16,1,62.6719
R6FULL,16,2,63.6213
R6SER,1,1,175.607
R6SER,1,2,171.522
R6SER,2,1,119.631
R6SER,2,2,120.329
R6SER,4,1,91.3231
R6SER,4,2,90.6052
R6SER,8,1,83.5644
R6SER,8,2,79.1464
R6SER,16,1,87.7498
R6SER,16,2,87.8222
PRINT_full,1,1,59.0966
PRINT_full,1,2,6.92583
PRINT_filter,1,1,6.986
PRINT_filter,1,2,6.9247
